nx,Erru,Errv,Errp
5.0,0.443695468,0.439273007,4.17111026e-08
10.0,0.128926936,0.128897127,9.75951539e-11
20.0,0.0334818652,0.0334553577,1.82823042e-10
40.0,0.00840077186,0.00846312055,1.10123955e-10
80.0,0.00209164843,0.00210621603,2.36243197e-10
