r,utheta_lbm_mean,utheta_std,utheta_analytic,abs_error,rel_error
12.0208,9.202718e-03,7.308855e-04,8.424517e-03,7.782011e-04,9.237338e-02
13.4350,6.366639e-03,8.146474e-04,5.860087e-03,5.065523e-04,8.644109e-02
14.8492,3.809169e-03,7.392311e-04,3.615468e-03,1.937018e-04,5.357585e-02
16.2635,1.569371e-03,5.463318e-04,1.607231e-03,3.785976e-05,2.355589e-02
