r,utheta_lbm_mean,utheta_std,utheta_analytic,abs_error,rel_error
12.0208,9.270366e-03,6.172747e-04,8.424517e-03,8.458487e-04,1.004032e-01
13.4350,6.610215e-03,8.184539e-04,5.860087e-03,7.501284e-04,1.280064e-01
14.8492,3.875501e-03,7.850724e-04,3.615468e-03,2.600337e-04,7.192256e-02
16.2635,1.542699e-03,5.416446e-04,1.607231e-03,6.453178e-05,4.015090e-02
